2023-12-13 08:03:40,934 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [18972] -- Next runtime: Wed Dec 13 09:03:40 IST 2023
2023-12-13 08:03:40,935 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-13 08:03:40,936 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-13 08:03:40,936 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [2] milliseconds
2023-12-13 08:03:40,942 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [7] milliseconds
2023-12-13 08:03:41,742 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [2278] milliseconds
2023-12-13 08:04:05,553 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18140
2023-12-13 08:04:05,553 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18146
2023-12-13 08:04:05,555 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18139
2023-12-13 08:04:05,555 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18141
2023-12-13 08:04:05,557 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 18145
2023-12-13 08:04:05,557 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 18147
2023-12-13 09:08:42,391 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [18977] -- Next runtime: Wed Dec 13 09:23:42 IST 2023
2023-12-13 09:08:42,392 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [18978] -- Next runtime: Wed Dec 13 09:23:42 IST 2023
2023-12-13 09:08:43,161 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [768] milliseconds
