2023-12-06 11:08:01,118 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [1] milliseconds
2023-12-06 11:08:01,121 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [15770] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,122 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [15769] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,123 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [1] milliseconds
2023-12-06 11:08:01,123 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [1] milliseconds
2023-12-06 11:08:01,126 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [15768] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,126 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [15767] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,127 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [1] milliseconds
2023-12-06 11:08:01,128 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [2] milliseconds
2023-12-06 11:08:01,130 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [15766] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,131 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [15765] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,132 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [2] milliseconds
2023-12-06 11:08:01,132 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-12-06 11:08:01,132 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1] milliseconds
2023-12-06 11:08:01,134 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [15764] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,135 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [15763] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,136 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [1] milliseconds
2023-12-06 11:08:01,139 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [15762] -- Next runtime: Thu Dec 07 00:00:00 IST 2023
2023-12-06 11:08:01,140 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-12-06 11:08:01,140 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [1] milliseconds
2023-12-06 11:08:01,144 |OFBiz-JobQueue-0     |PersistedServiceJob           |W| Persisted Job [15344] references a RecurrenceInfo, recommend using TemporalExpression instead
2023-12-06 11:08:01,147 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto Reconcile Financial Account] Id [15344] -- Next runtime: Mon Dec 11 00:00:00 IST 2023
2023-12-06 11:08:01,149 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoFinAccountReconciliation] finished in [2] milliseconds
2023-12-06 11:08:01,152 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [18] milliseconds
2023-12-06 11:08:29,150 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15489
2023-12-06 11:08:29,151 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15308
2023-12-06 11:08:29,152 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15309
2023-12-06 11:08:29,154 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15310
2023-12-06 11:08:29,155 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15306
2023-12-06 11:08:29,156 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15307
2023-12-06 11:08:29,157 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15483
2023-12-06 11:08:29,158 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15325
2023-12-06 11:08:29,158 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15326
2023-12-06 11:08:29,158 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15327
2023-12-06 11:08:29,159 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15329
2023-12-06 11:08:29,160 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15328
2023-12-06 11:08:29,160 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15330
2023-12-06 11:08:29,161 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15331
2023-12-06 11:08:29,161 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15332
2023-12-06 11:08:29,162 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15334
2023-12-06 11:08:29,162 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15333
2023-12-06 11:08:29,163 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15335
2023-12-06 11:08:29,163 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15336
2023-12-06 11:08:29,164 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15337
2023-12-06 11:08:29,165 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15338
2023-12-06 11:08:29,165 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15339
2023-12-06 11:08:29,166 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15341
2023-12-06 11:08:29,166 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15340
2023-12-06 11:08:29,167 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15311
2023-12-06 11:08:29,167 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15312
2023-12-06 11:08:29,168 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15313
2023-12-06 11:08:29,168 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15314
2023-12-06 11:08:29,169 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15315
2023-12-06 11:08:29,169 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15316
2023-12-06 11:08:29,170 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15318
2023-12-06 11:08:29,170 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15317
2023-12-06 11:08:29,171 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15320
2023-12-06 11:08:29,171 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15319
2023-12-06 11:08:29,172 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15321
2023-12-06 11:08:29,172 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15322
2023-12-06 11:08:29,172 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15323
2023-12-06 11:08:29,172 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15324
2023-12-06 11:08:29,173 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15487
2023-12-06 11:08:29,173 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15486
2023-12-06 11:08:29,174 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15490
2023-12-06 11:08:29,174 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15491
2023-12-06 11:22:59,598 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15868] -- Next runtime: Wed Dec 06 11:37:59 IST 2023
2023-12-06 11:23:01,172 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1572] milliseconds
2023-12-06 11:23:29,657 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15872] -- Next runtime: Wed Dec 06 11:38:29 IST 2023
2023-12-06 11:23:29,675 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15871] -- Next runtime: Wed Dec 06 11:38:29 IST 2023
2023-12-06 11:23:31,129 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1472] milliseconds
2023-12-06 11:23:32,433 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2757] milliseconds
2023-12-06 11:38:00,164 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15912] -- Next runtime: Wed Dec 06 11:53:00 IST 2023
2023-12-06 11:38:01,455 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1291] milliseconds
2023-12-06 11:38:30,226 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15913] -- Next runtime: Wed Dec 06 11:53:30 IST 2023
2023-12-06 11:38:30,228 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15914] -- Next runtime: Wed Dec 06 11:53:30 IST 2023
2023-12-06 11:38:31,640 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1414] milliseconds
2023-12-06 11:38:32,909 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2639] milliseconds
2023-12-06 11:53:00,719 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15915] -- Next runtime: Wed Dec 06 12:08:00 IST 2023
2023-12-06 11:53:02,282 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1563] milliseconds
2023-12-06 11:53:30,775 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15916] -- Next runtime: Wed Dec 06 12:08:30 IST 2023
2023-12-06 11:53:30,776 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15917] -- Next runtime: Wed Dec 06 12:08:30 IST 2023
2023-12-06 11:53:32,207 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1432] milliseconds
2023-12-06 11:53:33,601 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2823] milliseconds
2023-12-06 12:07:01,205 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15492
2023-12-06 12:07:01,205 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15494
2023-12-06 12:07:01,208 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15493
2023-12-06 12:07:31,216 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15495
2023-12-06 12:07:31,218 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 15496
2023-12-06 12:07:31,223 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 15497
2023-12-06 12:08:01,262 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15869] -- Next runtime: Wed Dec 06 13:08:01 IST 2023
