2023-12-27 13:23:24,708 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/contentimages])
2023-12-27 13:23:24,709 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/rainbowstone])
2023-12-27 13:23:24,800 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/tomahawk])
2023-12-27 13:23:24,819 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/helveticus])
2023-12-27 13:23:24,852 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/images])
2023-12-27 13:23:24,888 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/common])
2023-12-27 13:23:24,920 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/flatgrey])
2023-12-27 13:23:24,962 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/webtools])
2023-12-27 13:23:25,028 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/bluelight])
2023-12-27 13:23:25,028 |main                 |ContainerLoader               |I| Loaded container: catalina-container
2023-12-27 13:23:25,029 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2023-12-27 13:23:25,033 |main                 |ContainerLoader               |I| Starting container component-container
2023-12-27 13:23:25,033 |main                 |ContainerLoader               |I| Started container component-container
2023-12-27 13:23:25,034 |main                 |ContainerLoader               |I| Starting container admin-container
2023-12-27 13:23:25,035 |main                 |ContainerLoader               |I| Started container admin-container
2023-12-27 13:23:25,035 |main                 |ContainerLoader               |I| Starting container delegator-container
2023-12-27 13:23:25,310 |delegator-startup-1  |DelegatorFactoryImpl          |I| Creating new delegator [default] (delegator-startup-1)
2023-12-27 13:23:28,241 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawEncryptedValue
2023-12-27 13:23:28,241 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawSaltedEncryptedValue
2023-12-27 13:23:28,399 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-27 13:23:28,399 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2023-12-27 13:23:28,400 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2023-12-27 13:23:28,400 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
