2023-12-07 09:52:29,465 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [16075] -- Next runtime: Thu Dec 07 10:07:29 IST 2023
2023-12-07 09:52:29,482 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [16074] -- Next runtime: Thu Dec 07 10:07:29 IST 2023
2023-12-07 09:52:31,499 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2033] milliseconds
2023-12-07 09:52:32,763 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3281] milliseconds
2023-12-07 09:52:59,553 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [16076] -- Next runtime: Thu Dec 07 10:07:59 IST 2023
2023-12-07 09:53:00,918 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1361] milliseconds
2023-12-07 10:14:09,103 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-12-07 10:14:09,546 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-12-07 10:14:09,741 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-12-07 10:14:10,044 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-12-07 10:14:10,724 |main                 |ComponentContainer            |I| All components loaded
2023-12-07 10:14:10,724 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-12-07 10:14:10,725 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-12-07 10:14:10,738 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-12-07 10:14:10,738 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-12-07 10:14:10,740 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-12-07 10:14:10,740 |main                 |ContainerLoader               |I| Loading container: service-container
2023-12-07 10:14:10,746 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-12-07 10:14:10,747 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-12-07 10:14:11,237 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-12-07 10:14:11,242 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-12-07 10:14:11,252 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-12-07 10:14:11,254 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-12-07 10:14:11,254 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-12-07 10:14:11,279 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-12-07 10:14:11,280 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-12-07 10:14:11,281 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-12-07 10:14:11,282 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-12-07 10:14:11,284 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-12-07 10:14:11,284 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-12-07 10:14:11,285 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-07 10:14:11,286 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-12-07 10:14:11,287 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-12-07 10:14:11,287 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-12-07 10:14:11,289 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-12-07 10:14:11,291 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-12-07 10:14:11,292 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-12-07 10:14:11,292 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-12-07 10:14:11,293 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-07 10:14:11,293 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
