2023-12-17 01:10:59,161 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.productId is missing
2023-12-17 01:10:59,161 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field productId is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.partyId is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field partyId is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.roleTypeId is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field roleTypeId is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.fromDate is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field fromDate is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.thruDate is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field thruDate is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.sequenceNum is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.comments is missing
2023-12-17 01:10:59,162 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field comments is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.lastUpdatedStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field lastUpdatedStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.lastUpdatedTxStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field lastUpdatedTxStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.createdStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field createdStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductRole.createdTxStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field createdTxStamp is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| EntityDescription for entity ProductSearchConstraint is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.productSearchResultId is missing
2023-12-17 01:10:59,163 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field productSearchResultId is missing
2023-12-17 01:10:59,164 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.constraintSeqId is missing
2023-12-17 01:10:59,164 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field constraintSeqId is missing
2023-12-17 01:10:59,164 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.constraintName is missing
2023-12-17 01:10:59,164 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field constraintName is missing
2023-12-17 01:10:59,164 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.infoString is missing
2023-12-17 01:10:59,165 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field infoString is missing
2023-12-17 01:10:59,165 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.includeSubCategories is missing
2023-12-17 01:10:59,165 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field includeSubCategories is missing
2023-12-17 01:10:59,165 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.isAnd is missing
2023-12-17 01:10:59,165 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field isAnd is missing
2023-12-17 01:10:59,165 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.anyPrefix is missing
2023-12-17 01:10:59,166 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for field anyPrefix is missing
2023-12-17 01:10:59,166 |jsse-nio-8443-exec-2 |WebToolsServices              |W| FieldDescription for entity.field ProductSearchConstraint.anySuffix is missing
