2023-12-27 18:17:02,443 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [48] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/servicedef/services_quote.xml
2023-12-27 18:17:02,450 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [1] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/servicedef/services_perm.xml
2023-12-27 18:17:02,450 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [3] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/servicedef/services_checkout.xml
2023-12-27 18:17:02,456 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [1] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/order/servicedef/services_upgrade.xml
2023-12-27 18:17:02,464 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [3] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/servicedef/services_contact.xml
2023-12-27 18:17:02,466 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service addPriceRuleToMarketingCampaign has been deprecated and replaced by createMarketingCampaignPrice, since Release 18.12 because '
            Renaming service to respect service name best practice
        '
2023-12-27 18:17:02,466 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service removePriceRuleFromMarketingCampaign has been deprecated and replaced by deleteMarketingCampaignPrice, since Release 18.12 because '
                Renaming service to respect service name best practice
            '
2023-12-27 18:17:02,466 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service addPromoToMarketingCampaign has been deprecated and replaced by createMarketingCampaignPromo, since Release 18.12 because '
            Renaming service to respect service name best practice
        '
2023-12-27 18:17:02,466 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service removePromoFromMarketingCampaign has been deprecated and replaced by deleteMarketingCampaignPromo, since Release 18.12 because '
            Renaming service to respect service name best practice
        '
2023-12-27 18:17:02,470 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [79] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/servicedef/services.xml
2023-12-27 18:17:02,479 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [6] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/servicedef/services.xml
2023-12-27 18:17:02,494 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [25] Services from file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/marketing/servicedef/services_opportunity.xml
