2023-12-18 16:28:06,571 |main                 |SeoConfigUtil                 |I|   replacement: -
2023-12-18 16:28:06,630 |main                 |ServiceDispatcher             |I| Registering dispatcher: facility
2023-12-18 16:28:06,630 |main                 |ServiceContainer              |I| Created new dispatcher: facility
2023-12-18 16:28:06,632 |main                 |ControlServlet                |I| Loading webapp [facility], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\applications\product\webapp\facility\
2023-12-18 16:28:06,657 |main                 |ConfigXMLReader               |I| controller loaded: 0.006s, 243 requests, 95 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/product/webapp/facility/WEB-INF/controller.xml
2023-12-18 16:28:06,690 |main                 |ServiceDispatcher             |I| Registering dispatcher: ical
2023-12-18 16:28:06,690 |main                 |ServiceContainer              |I| Created new dispatcher: ical
2023-12-18 16:28:06,775 |main                 |ServiceDispatcher             |I| Registering dispatcher: msggateway
2023-12-18 16:28:06,775 |main                 |ServiceContainer              |I| Created new dispatcher: msggateway
2023-12-18 16:28:06,779 |main                 |ControlServlet                |I| Loading webapp [msggateway], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\msggateway\webapp\msggateway\
2023-12-18 16:28:06,804 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 1 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/msggateway/webapp/msggateway/WEB-INF/controller.xml
2023-12-18 16:28:06,844 |main                 |ServiceDispatcher             |I| Registering dispatcher: exampleext
2023-12-18 16:28:06,844 |main                 |ServiceContainer              |I| Created new dispatcher: exampleext
2023-12-18 16:28:06,846 |main                 |ControlServlet                |I| Loading webapp [exampleext], located at C:\Users\Dell\ofbiz-framework\ofbiz-framework\plugins\exampleext\webapp\exampleext\
2023-12-18 16:28:06,858 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/exampleext/webapp/exampleext/WEB-INF/controller.xml
2023-12-18 16:28:06,916 |main                 |ServiceDispatcher             |I| Registering dispatcher: rest-api
2023-12-18 16:28:06,916 |main                 |ServiceContainer              |I| Created new dispatcher: rest-api
