2023-12-02 12:07:00,643 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [951] milliseconds
2023-12-02 12:07:00,643 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-02 12:07:00,643 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [972] milliseconds
2023-12-02 12:07:00,733 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [185] milliseconds
2023-12-02 12:07:00,734 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-02 12:07:00,734 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [187] milliseconds
2023-12-02 12:07:01,393 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1722] milliseconds
2023-12-02 12:07:01,398 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15497] -- Next runtime: Sat Dec 02 13:07:01 IST 2023
2023-12-02 12:07:01,399 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-02 12:07:01,400 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-02 12:07:01,400 |OFBiz-JobQueue-1     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-02 12:07:01,400 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [2] milliseconds
2023-12-02 12:07:01,407 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [9] milliseconds
2023-12-02 12:07:02,052 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [1505] milliseconds
2023-12-02 12:21:59,219 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15535] -- Next runtime: Sat Dec 02 12:36:59 IST 2023
2023-12-02 12:21:59,225 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15534] -- Next runtime: Sat Dec 02 12:36:59 IST 2023
2023-12-02 12:21:59,941 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [715] milliseconds
2023-12-02 12:22:00,635 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1415] milliseconds
2023-12-02 12:22:29,233 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15536] -- Next runtime: Sat Dec 02 12:37:29 IST 2023
2023-12-02 12:22:29,936 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [703] milliseconds
2023-12-02 12:36:59,621 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15540] -- Next runtime: Sat Dec 02 12:51:59 IST 2023
2023-12-02 12:36:59,622 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15541] -- Next runtime: Sat Dec 02 12:51:59 IST 2023
2023-12-02 12:37:00,553 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [932] milliseconds
2023-12-02 12:37:01,929 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2307] milliseconds
2023-12-02 12:37:29,658 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15542] -- Next runtime: Sat Dec 02 12:52:29 IST 2023
2023-12-02 12:37:30,422 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [764] milliseconds
2023-12-02 12:52:00,025 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15543] -- Next runtime: Sat Dec 02 13:07:00 IST 2023
2023-12-02 12:52:00,029 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [15544] -- Next runtime: Sat Dec 02 13:07:00 IST 2023
2023-12-02 12:52:00,888 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [862] milliseconds
2023-12-02 12:52:01,709 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1680] milliseconds
2023-12-02 12:52:30,055 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15545] -- Next runtime: Sat Dec 02 13:07:30 IST 2023
2023-12-02 12:52:30,873 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [818] milliseconds
2023-12-02 13:07:00,493 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15537] -- Next runtime: Sat Dec 02 14:07:00 IST 2023
2023-12-02 13:07:00,503 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15546] -- Next runtime: Sat Dec 02 13:22:00 IST 2023
2023-12-02 13:07:00,551 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-02 13:07:01,666 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [1163] milliseconds
2023-12-02 13:07:01,672 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [15547] -- Next runtime: Sat Dec 02 13:22:01 IST 2023
2023-12-02 13:07:01,674 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [2] milliseconds
2023-12-02 13:07:01,842 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [1291] milliseconds
2023-12-02 13:07:01,842 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-02 13:07:01,842 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [1347] milliseconds
2023-12-02 13:07:02,847 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [2353] milliseconds
2023-12-02 13:07:30,524 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15539] -- Next runtime: Sat Dec 02 14:07:30 IST 2023
2023-12-02 13:07:30,580 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-02 13:07:30,613 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [15538] -- Next runtime: Sat Dec 02 14:07:30 IST 2023
2023-12-02 13:07:30,614 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
