2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-19 14:36:56,217 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-19 14:36:56,223 |OFBiz-batch-3        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2023-12-19 14:36:56,229 |OFBiz-batch-3        |DatabaseUtil                  |I| - is case sensitive         [false]
2023-12-19 14:36:56,230 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores LowerCase          [true]
2023-12-19 14:36:56,230 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores MixedCase          [false]
2023-12-19 14:36:56,230 |OFBiz-batch-3        |DatabaseUtil                  |I| - stores UpperCase          [false]
2023-12-19 14:36:56,238 |OFBiz-batch-3        |DatabaseUtil                  |I| - max table name length     [63]
2023-12-19 14:36:56,238 |OFBiz-batch-3        |DatabaseUtil                  |I| - max column name length    [63]
2023-12-19 14:36:56,238 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-12-19 14:36:56,238 |OFBiz-batch-3        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-12-19 14:36:56,239 |OFBiz-batch-3        |DatabaseUtil                  |I| - outer joins               [true]*
2023-12-19 14:36:56,247 |OFBiz-batch-3        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-12-19 14:36:56,249 |OFBiz-batch-3        |DatabaseUtil                  |I| - full outer joins          [true]
2023-12-19 14:36:56,250 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by                  [true]*
2023-12-19 14:36:56,250 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-12-19 14:36:56,250 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-12-19 14:36:56,250 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-12-19 14:36:56,250 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-12-19 14:36:56,254 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-12-19 14:36:56,255 |OFBiz-batch-3        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-12-19 14:36:56,255 |OFBiz-batch-3        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-12-19 14:36:56,255 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Table Info From Database
2023-12-19 14:36:56,256 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-19 14:36:56,268 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-19 14:36:56,281 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Column Info From Database
2023-12-19 14:36:56,297 |OFBiz-batch-3        |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2023-12-19 14:36:56,349 |OFBiz-batch-1        |DatabaseUtil                  |I| Reviewed 9 primary key fields from database.
2023-12-19 14:36:56,652 |OFBiz-batch-2        |DatabaseUtil                  |I| Reviewed 1717 primary key fields from database.
2023-12-19 14:36:56,675 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [DIFFICULTY_LEVEL] of table [public.QUESTION_MASTER] of entity [QuestionMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [IS_FLAGGED] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-12-19 14:36:56,680 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [NO_OF_QUESTIONS] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
