2023-11-24 12:51:29,881 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [2] milliseconds
2023-11-24 12:51:29,882 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-24 12:51:29,882 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [6] milliseconds
2023-11-24 12:51:29,890 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-24 12:51:29,892 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-24 12:51:29,893 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-24 12:51:29,894 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [4] milliseconds
2023-11-24 12:51:29,896 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2023-11-24 12:51:29,898 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2023-11-24 12:51:29,900 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [2] milliseconds
2023-11-24 12:51:29,900 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [4] milliseconds
2023-11-24 12:51:29,912 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-2644
2023-11-24 12:51:29,928 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-5005
2023-11-24 12:51:29,947 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-7000
2023-11-24 12:51:29,956 |main                 |EntitySaxReader               |I| Finished 50 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoProductAdditionalViewData.xml
2023-11-24 12:51:29,956 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoPopularCategoriesData.xml
2023-11-24 12:51:29,959 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:29,966 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,967 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,968 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,970 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,971 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-24 12:51:29,971 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-8544
2023-11-24 12:51:29,972 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,973 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-24 12:51:29,974 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,976 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,977 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,978 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-24 12:51:29,979 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductCategoryMember
2023-11-24 12:51:29,980 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2023-11-24 12:51:29,985 |main                 |EntitySaxReader               |I| Finished 34 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoPopularCategoriesData.xml
2023-11-24 12:51:29,986 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoContentAltUrl.xml
2023-11-24 12:51:29,988 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:29,991 |main                 |EntitySaxReader               |I| Finished 12 values from file:/D:/ofbiz/ofbiz-framework/plugins/ecommerce/data/DemoContentAltUrl.xml
2023-11-24 12:51:29,992 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/example/data/ExampleSecurityGroupDemoData.xml
2023-11-24 12:51:29,994 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-9290
2023-11-24 12:51:29,994 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:29,996 |main                 |EntitySaxReader               |I| Finished 7 values from file:/D:/ofbiz/ofbiz-framework/plugins/example/data/ExampleSecurityGroupDemoData.xml
2023-11-24 12:51:29,996 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/example/data/ExampleDemoData.xml
2023-11-24 12:51:29,999 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,022 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-1111
2023-11-24 12:51:30,043 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-5569
2023-11-24 12:51:30,073 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943
2023-11-24 12:51:30,078 |main                 |EntitySaxReader               |I| Finished 58 values from file:/D:/ofbiz/ofbiz-framework/plugins/example/data/ExampleDemoData.xml
2023-11-24 12:51:30,078 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/D:/ofbiz/ofbiz-framework/plugins/firstdatapaymentgateway/data/FirstDataSecurityGroupDemoData.xml
2023-11-24 12:51:30,081 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2023-11-24 12:51:30,083 |main                 |EntitySaxReader               |I| Finished 7 values from file:/D:/ofbiz/ofbiz-framework/plugins/firstdatapaymentgateway/data/FirstDataSecurityGroupDemoData.xml
