2023-12-20 13:37:54,463 |jsse-nio-8443-exec-5 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-20 13:37:54,467 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-20 13:37:54,468 |jsse-nio-8443-exec-5 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-20 13:37:54,483 |jsse-nio-8443-exec-5 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-20 13:37:54,486 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamTopicMappingMasterEvent#getExamTopicEvent] from [request], result is [error]
2023-12-20 13:37:54,486 |jsse-nio-8443-exec-5 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-20 13:37:54,487 |jsse-nio-8443-exec-5 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-20 13:37:54,489 |jsse-nio-8443-exec-5 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-20 13:37:54,495 |jsse-nio-8443-exec-5 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-20 13:37:54,500 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[onlineexam::getExamTopicEvent (Domain:https://localhost)] Request Done- total:0.033,since last([onlineexam::getE...):0.033]]
2023-12-20 13:37:59,475 |OFBiz-JobQueue-0     |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-20 13:37:59,481 |OFBiz-JobQueue-0     |SequenceUtil                  |I| Got bank of sequenced IDs for [JobSandbox]; curSeqId=25300, maxSeqId=25400, bankSize=100
2023-12-20 13:37:59,489 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [25000] -- Next runtime: Wed Dec 20 14:37:59 IST 2023
2023-12-20 13:37:59,501 |OFBiz-JobQueue-0     |AbstractEngine                |I| Loaded Service Locations: {rita-rmi=rmi://localhost:1099/RMIDispatcher, main-rmi=rmi://localhost:1099/RMIDispatcher, entity-sync-rmi=rmi://localhost:1099/RMIDispatcher}
2023-12-20 13:37:59,534 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [25001] -- Next runtime: Wed Dec 20 14:37:59 IST 2023
2023-12-20 13:37:59,681 |OFBiz-JobQueue-0     |ScriptUtil                    |I| The following 2 scripting engines were found:
2023-12-20 13:37:59,681 |OFBiz-JobQueue-0     |ScriptUtil                    |I| Engine name: BeanShell Engine
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Version: 1.0
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Language: BeanShell
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine supports the following extensions:
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     bsh
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     java
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine has the following short names:
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     beanshell
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     bsh
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     java
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I| Engine name: Groovy Scripting Engine
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Version: 2.0
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Language: Groovy
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine supports the following extensions:
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     groovy
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|   Engine has the following short names:
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     groovy
2023-12-20 13:37:59,682 |OFBiz-JobQueue-0     |ScriptUtil                    |I|     Groovy
2023-12-20 13:37:59,747 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-12-20 13:37:59,747 |OFBiz-JobQueue-1     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
